pattern_i,pattern_0,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,pattern_11,pattern_12,pattern_13,pattern_14,pattern_15,pattern_16,pattern_17,pattern_18,pattern_19,pattern_20,pattern_21,pattern_22,pattern_23,pattern_24,pattern_25,pattern_26,pattern_27,pattern_28,pattern_29,pattern_30,pattern_31,pattern_32,pattern_33,pattern_34,pattern_35,pattern_36,pattern_37,pattern_38,pattern_39,pattern_40,pattern_41,pattern_42,pattern_43,pattern_44,pattern_45,pattern_46,pattern_47,pattern_48,pattern_49,pattern_50,pattern_51,pattern_52,pattern_53,pattern_54,pattern_55,pattern_56,pattern_57,pattern_58,pattern_59,pattern_60,pattern_61,pattern_62,pattern_63,pattern_64,pattern_65,pattern_66,pattern_67,pattern_68,pattern_69,pattern_70,pattern_71,pattern_72,pattern_73,pattern_74,pattern_75,pattern_76,pattern_77,pattern_78,pattern_79,pattern_80,pattern_81,pattern_82,pattern_83,pattern_84,pattern_85,pattern_86,pattern_87,pattern_88,pattern_89,pattern_90,pattern_91,pattern_92,pattern_93,pattern_94,pattern_95,pattern_96,pattern_97,pattern_98,pattern_99,pattern_100,pattern_101,pattern_102,pattern_103,pattern_104,pattern_105,pattern_106,pattern_107,pattern_108,pattern_109,pattern_110,pattern_111,pattern_112,pattern_113,pattern_114,pattern_115,pattern_116,pattern_117,pattern_118,pattern_119,pattern_120,pattern_121,pattern_122,pattern_123,pattern_124,pattern_125,pattern_126,pattern_127
102,0.28885135135135137,0.2999161073825503,0.2947635135135135,0.2934966216216216,0.31833333333333336,0.3221476510067114,0.30574324324324326,0.3104026845637584,0.27390939597315433,0.29656040268456374,0.2839765100671141,0.29263245033112584,0.32052364864864863,0.3171452702702703,0.28040540540540543,0.3141778523489933,0.2875844594594595,0.30743243243243246,0.27618243243243246,0.33361486486486486,0.3285472972972973,0.3154560810810811,0.28673986486486486,0.32559121621621623,0.30291666666666667,0.29603040540540543,0.3032094594594595,0.28523489932885904,0.275,0.30658783783783783,0.31967905405405406,0.3091442953020134,0.3050986842105263,0.3108221476510067,0.2972972972972973,0.3103885135135135,0.3327702702702703,0.2978187919463087,0.287751677852349,0.3024328859060403,0.30827702702702703,0.2808333333333333,0.2947635135135135,0.26375,0.30791666666666667,0.32221283783783783,0.29875,0.2816722972972973,0.3146114864864865,0.32728040540540543,0.3260135135135135,0.28942953020134227,0.31334459459459457,0.2898489932885906,0.28505067567567566,0.3103885135135135,0.31630067567567566,0.2934966216216216,0.3036912751677852,0.2972972972972973,0.3120777027027027,0.3112331081081081,0.29875,0.3310810810810811,0.2833614864864865,0.31166666666666665,0.3036912751677852,0.31967905405405406,0.32172818791946306,0.30109797297297297,0.28817114093959734,0.27558724832214765,0.2749155405405405,0.30194256756756754,0.30996621621621623,0.2789429530201342,0.29697986577181207,0.3015939597315436,0.3277027027027027,0.2629166666666667,0.30532094594594594,0.2808333333333333,0.2783333333333333,0.2842060810810811,0.3099832214765101,0.3125,0.3015939597315436,0.27558724832214765,0.3310810810810811,0.2985641891891892,0.30363175675675674,0.27618243243243246,0.29940878378378377,0.32172818791946306,0.2873322147651007,0.29320469798657717,0.31672297297297297,0.3108108108108108,0.28481543624161076,0.2873322147651007,0.2956081081081081,0.3146114864864865,0.0,0.2778716216216216,0.2990771812080537,0.31833333333333336,0.2985641891891892,0.2923657718120805,0.3112331081081081,0.3141891891891892,0.30109797297297297,0.31756756756756754,0.2989864864864865,0.2956081081081081,0.3285472972972973,0.2764261744966443,0.2989864864864865,0.2688758389261745,0.2998310810810811,0.3251689189189189,0.28817114093959734,0.2923657718120805,0.29307432432432434,0.3424831081081081,0.2956081081081081,0.28673986486486486,0.30453020134228187,0.33192567567567566
103,0.26677852348993286,0.2842060810810811,0.2668918918918919,0.24958053691275167,0.30405405405405406,0.28800675675675674,0.28378378378378377,0.2541390728476821,0.24788851351351351,0.287751677852349,0.3095439189189189,0.2609060402684564,0.296875,0.26490066225165565,0.2651006711409396,0.27208333333333334,0.2536764705882353,0.2651006711409396,0.23041666666666666,0.28523489932885904,0.28901006711409394,0.2915268456375839,0.24458333333333335,0.2846283783783784,0.27810402684563756,0.2764261744966443,0.28104026845637586,0.27871621621621623,0.2491554054054054,0.30278716216216217,0.27576013513513514,0.27576013513513514,0.30701013513513514,0.30194256756756754,0.2833614864864865,0.26942567567567566,0.26625,0.29940878378378377,0.2424496644295302,0.27407094594594594,0.271523178807947,0.28547297297297297,0.28125,0.25796979865771813,0.28209459459459457,0.3091216216216216,0.28547297297297297,0.24666666666666667,0.3078547297297297,0.24538590604026847,0.28125,0.2749155405405405,0.28523489932885904,0.2596476510067114,0.2230960264900662,0.26971476510067116,0.2713926174496644,0.24366554054054054,0.28716216216216217,0.2802013422818792,0.28969594594594594,0.2646812080536913,0.27936241610738255,0.2713926174496644,0.27390939597315433,0.28505067567567566,0.27558724832214765,0.27322635135135137,0.26625,0.27348993288590606,0.2684563758389262,0.23657718120805368,0.27111486486486486,0.25675675675675674,0.26646959459459457,0.25125,0.3074664429530201,0.30827702702702703,0.29949664429530204,0.2719594594594595,0.27280405405405406,0.28942953020134227,0.3158783783783784,0.2512668918918919,0.28565436241610737,0.26182432432432434,0.2701342281879195,0.2520973154362416,0.3120777027027027,0.24704391891891891,0.2592905405405405,0.24416666666666667,0.2816722972972973,0.26646959459459457,0.27533783783783783,0.26300335570469796,0.26552013422818793,0.2675,0.2512668918918919,0.24577702702702703,0.26208333333333333,0.27726510067114096,0.2778716216216216,0.0,0.23791666666666667,0.3141891891891892,0.2726510067114094,0.28040540540540543,0.26375,0.26708333333333334,0.24451013513513514,0.29333333333333333,0.274748322147651,0.2634228187919463,0.3002533783783784,0.2749155405405405,0.25796979865771813,0.2575503355704698,0.27618243243243246,0.27533783783783783,0.2521114864864865,0.3154560810810811,0.2625838926174497,0.3108108108108108,0.27871621621621623,0.2905405405405405,0.27238175675675674,0.2986577181208054
104,0.2846283783783784,0.28691275167785235,0.28378378378378377,0.2684563758389262,0.3175335570469799,0.30236486486486486,0.27348993288590606,0.274748322147651,0.2785234899328859,0.2873322147651007,0.30125,0.28523489932885904,0.28481543624161076,0.2835570469798658,0.2833614864864865,0.3146114864864865,0.23993288590604026,0.2673141891891892,0.26815878378378377,0.24875,0.29434121621621623,0.28885135135135137,0.24957770270270271,0.2766047297297297,0.27449324324324326,0.29096283783783783,0.28104026845637586,0.28631756756756754,0.2764261744966443,0.2683333333333333,0.27407094594594594,0.2858952702702703,0.3061655405405405,0.2839765100671141,0.2668918918918919,0.2981418918918919,0.2726510067114094,0.28885135135135137,0.2775,0.2679166666666667,0.2775,0.28927364864864863,0.27936241610738255,0.27153716216216217,0.30453020134228187,0.27618243243243246,0.2951858108108108,0.23909395973154363,0.3302364864864865,0.2905405405405405,0.29265202702702703,0.29096283783783783,0.3078547297297297,0.28859060402684567,0.27432885906040266,0.2726510067114094,0.2922297297297297,0.2764261744966443,0.27576013513513514,0.2713926174496644,0.2829391891891892,0.2671979865771812,0.2934966216216216,0.27291666666666664,0.2915268456375839,0.29823825503355705,0.2816666666666667,0.29138513513513514,0.29320469798657717,0.2766047297297297,0.3188344594594595,0.21917229729729729,0.25671140939597314,0.24664429530201343,0.2934966216216216,0.28145973154362414,0.30405405405405406,0.3002533783783784,0.30236486486486486,0.2676174496644295,0.27153716216216217,0.29180743243243246,0.31925675675675674,0.25461409395973156,0.33053691275167785,0.2520833333333333,0.28565436241610737,0.25419463087248323,0.3125,0.24666666666666667,0.26140202702702703,0.2797818791946309,0.28631756756756754,0.2562919463087248,0.27348993288590606,0.24834437086092714,0.26125,0.2860738255033557,0.26140202702702703,0.2521114864864865,0.28104026845637586,0.3061655405405405,0.2990771812080537,0.23791666666666667,0.0,0.2989864864864865,0.27744932432432434,0.29434121621621623,0.30447635135135137,0.30363175675675674,0.2652027027027027,0.32305743243243246,0.2825168918918919,0.2713926174496644,0.2998310810810811,0.28125,0.28145973154362414,0.2791385135135135,0.29307432432432434,0.3015202702702703,0.2613255033557047,0.3108221476510067,0.26013513513513514,0.2915268456375839,0.2902684563758389,0.3120777027027027,0.26478040540540543,0.3146114864864865
105,0.3213087248322148,0.3310810810810811,0.28800675675675674,0.3260135135135135,0.35318791946308725,0.28269867549668876,0.3108221476510067,0.31333892617449666,0.2822986577181208,0.30827702702702703,0.32052364864864863,0.3145973154362416,0.29791666666666666,0.30447635135135137,0.28523489932885904,0.3433277027027027,0.30658783783783783,0.3129222972972973,0.27533783783783783,0.33488175675675674,0.32432432432432434,0.3188344594594595,0.29771959459459457,0.31708333333333333,0.32172818791946306,0.2986577181208054,0.28565436241610737,0.28547297297297297,0.28187919463087246,0.34375,0.3091442953020134,0.33557046979865773,0.32666666666666666,0.3129222972972973,0.30411073825503354,0.3260135135135135,0.31291946308724833,0.3120777027027027,0.30236486486486486,0.30701013513513514,0.3327702702702703,0.3310810810810811,0.2822986577181208,0.27666666666666667,0.2945833333333333,0.33166666666666667,0.325,0.29771959459459457,0.32390202702702703,0.30791666666666667,0.3074664429530201,0.3264358108108108,0.35050675675675674,0.30578859060402686,0.31503378378378377,0.30489864864864863,0.3293918918918919,0.3087248322147651,0.3310810810810811,0.28378378378378377,0.29,0.27432885906040266,0.31166666666666665,0.3271812080536913,0.3251689189189189,0.32094594594594594,0.29656040268456374,0.3238255033557047,0.3188344594594595,0.3024328859060403,0.3221476510067114,0.28708333333333336,0.3154560810810811,0.31798986486486486,0.32094594594594594,0.3188344594594595,0.311241610738255,0.34375,0.32172818791946306,0.26803691275167785,0.3154560810810811,0.2970833333333333,0.3234060402684564,0.30830536912751677,0.3104166666666667,0.3091442953020134,0.32094594594594594,0.3095833333333333,0.33319256756756754,0.2711092715231788,0.3036912751677852,0.3032094594594595,0.30532094594594594,0.3179530201342282,0.3091216216216216,0.3137668918918919,0.31630067567567566,0.3213087248322148,0.2891666666666667,0.2791666666666667,0.3120777027027027,0.31165540540540543,0.31833333333333336,0.3141891891891892,0.2989864864864865,0.0,0.31165540540540543,0.2934966216216216,0.3187919463087248,0.30236486486486486,0.30075503355704697,0.3162751677852349,0.32052364864864863,0.32010135135135137,0.30201342281879195,0.3188344594594595,0.2956081081081081,0.28523489932885904,0.2829391891891892,0.3104026845637584,0.30363175675675674,0.3376677852348993,0.2922297297297297,0.33783783783783783,0.27181208053691275,0.31756756756756754,0.3301174496644295,0.29572147651006714
106,0.29138513513513514,0.26208333333333333,0.28842905405405406,0.27726510067114096,0.28481543624161076,0.30574324324324326,0.2940436241610738,0.32390202702702703,0.2571308724832215,0.2722315436241611,0.2989864864864865,0.2822986577181208,0.30658783783783783,0.3078547297297297,0.2575,0.3204166666666667,0.25375,0.28901006711409394,0.24113175675675674,0.28885135135135137,0.2956081081081081,0.27684563758389263,0.26013513513513514,0.29572147651006714,0.2953020134228188,0.26458333333333334,0.28969594594594594,0.27726510067114096,0.30067567567567566,0.2989864864864865,0.28481543624161076,0.3141891891891892,0.29572147651006714,0.30658783783783783,0.2608333333333333,0.31756756756756754,0.27768456375838924,0.28505067567567566,0.28505067567567566,0.25916666666666666,0.2964527027027027,0.28547297297297297,0.2961409395973154,0.26646959459459457,0.3247466216216216,0.29125,0.30827702702702703,0.2516778523489933,0.31756756756756754,0.2783333333333333,0.287751677852349,0.28927364864864863,0.29583333333333334,0.3002533783783784,0.28673986486486486,0.27111486486486486,0.27181208053691275,0.2902684563758389,0.276006711409396,0.29572147651006714,0.28901006711409394,0.26971476510067116,0.29138513513513514,0.2934966216216216,0.30109797297297297,0.3137668918918919,0.29096283783783783,0.27558724832214765,0.28187919463087246,0.26971476510067116,0.30075503355704697,0.2592905405405405,0.2663590604026846,0.25971283783783783,0.28505067567567566,0.27875,0.296875,0.3112331081081081,0.3049496644295302,0.25844594594594594,0.2789429530201342,0.2802013422818792,0.2964527027027027,0.2533557046979866,0.3251689189189189,0.2829391891891892,0.2858952702702703,0.2475,0.3158557046979866,0.27449324324324326,0.2690033783783784,0.28716216216216217,0.265,0.2858952702702703,0.2825168918918919,0.27238175675675674,0.2546452702702703,0.2911073825503356,0.26013513513513514,0.2588087248322148,0.28378378378378377,0.27307046979865773,0.2985641891891892,0.2726510067114094,0.27744932432432434,0.31165540540540543,0.0,0.27153716216216217,0.30827702702702703,0.2978187919463087,0.24662162162162163,0.29375,0.29278523489932884,0.2964527027027027,0.30578859060402686,0.28125,0.2922297297297297,0.2529560810810811,0.2964527027027027,0.28523489932885904,0.24748322147651006,0.29823825503355705,0.25625,0.29068791946308725,0.2873322147651007,0.26158940397350994,0.27684563758389263,0.33488175675675674
107,0.3268581081081081,0.28547297297297297,0.27576013513513514,0.2709731543624161,0.3049496644295302,0.2981418918918919,0.2981418918918919,0.2802013422818792,0.25461409395973156,0.30067567567567566,0.3095439189189189,0.30278716216216217,0.2782939189189189,0.28187919463087246,0.24458333333333335,0.31841216216216217,0.2858952702702703,0.27307046979865773,0.2719594594594595,0.2893211920529801,0.313758389261745,0.2588087248322148,0.24370805369127516,0.274748322147651,0.30327181208053694,0.2981418918918919,0.2701342281879195,0.2504166666666667,0.2825168918918919,0.3045833333333333,0.28631756756756754,0.32221283783783783,0.31333892617449666,0.2986577181208054,0.2956081081081081,0.287751677852349,0.29180743243243246,0.27810402684563756,0.27111486486486486,0.29096283783783783,0.2978187919463087,0.29583333333333334,0.30447635135135137,0.25922818791946306,0.28547297297297297,0.31711409395973156,0.3327702702702703,0.25041946308724833,0.3108108108108108,0.27280405405405406,0.27181208053691275,0.3049496644295302,0.30996621621621623,0.2858952702702703,0.2558724832214765,0.26048657718120805,0.2808277027027027,0.29096283783783783,0.2985641891891892,0.30658783783783783,0.27375,0.2625838926174497,0.2915268456375839,0.27576013513513514,0.2947635135135135,0.28800675675675674,0.28209459459459457,0.27390939597315433,0.28505067567567566,0.2939189189189189,0.2990771812080537,0.24535472972972974,0.29320469798657717,0.2764261744966443,0.28673986486486486,0.2778716216216216,0.29541666666666666,0.29572147651006714,0.2989864864864865,0.22433774834437087,0.3053691275167785,0.28208333333333335,0.296875,0.27684563758389263,0.3268581081081081,0.28040540540540543,0.2504139072847682,0.27407094594594594,0.33657094594594594,0.25506756756756754,0.28125,0.26815878378378377,0.29572147651006714,0.3091216216216216,0.28523489932885904,0.28547297297297297,0.2953020134228188,0.27432885906040266,0.24957770270270271,0.25591216216216217,0.2981418918918919,0.287751677852349,0.2923657718120805,0.28040540540540543,0.29434121621621623,0.2934966216216216,0.27153716216216217,0.0,0.29603040540540543,0.3141891891891892,0.23951342281879195,0.27307046979865773,0.27541666666666664,0.29180743243243246,0.2956081081081081,0.30194256756756754,0.2733333333333333,0.23541666666666666,0.28125,0.29180743243243246,0.25717905405405406,0.29656040268456374,0.2635135135135135,0.30453020134228187,0.26174496644295303,0.2825,0.2986577181208054,0.30075503355704697
108,0.30125,0.3268581081081081,0.2934966216216216,0.3095833333333333,0.33530405405405406,0.3234797297297297,0.3091216216216216,0.3304166666666667,0.3002533783783784,0.3032094594594595,0.3188344594594595,0.3154166666666667,0.31333892617449666,0.3025,0.3049496644295302,0.337248322147651,0.30333333333333334,0.32263513513513514,0.2709731543624161,0.31334459459459457,0.3146114864864865,0.28125,0.2604166666666667,0.3162751677852349,0.3234797297297297,0.2916666666666667,0.3011744966442953,0.29771959459459457,0.2953020134228188,0.31165540540540543,0.3247466216216216,0.328125,0.33934563758389263,0.29180743243243246,0.29194630872483224,0.3108221476510067,0.30453020134228187,0.28842905405405406,0.3137668918918919,0.31334459459459457,0.3187919463087248,0.29572147651006714,0.28642384105960267,0.2842060810810811,0.30453020134228187,0.3327702702702703,0.28817114093959734,0.2846283783783784,0.32010135135135137,0.30075503355704697,0.2835570469798658,0.30869932432432434,0.30830536912751677,0.29375,0.3188344594594595,0.32263513513513514,0.3108221476510067,0.3078547297297297,0.296875,0.31756756756756754,0.3213087248322148,0.2985641891891892,0.32728040540540543,0.3070469798657718,0.30791666666666667,0.3,0.30869932432432434,0.32221283783783783,0.3036912751677852,0.2985641891891892,0.31708333333333333,0.2604166666666667,0.3091442953020134,0.30701013513513514,0.30916666666666665,0.3061655405405405,0.31208053691275167,0.35135135135135137,0.286493288590604,0.3137668918918919,0.3103885135135135,0.30453020134228187,0.3293918918918919,0.2663590604026846,0.32172818791946306,0.30236486486486486,0.2956081081081081,0.296875,0.3374155405405405,0.27166666666666667,0.3011744966442953,0.3112331081081081,0.30869932432432434,0.2818708609271523,0.2936241610738255,0.30067567567567566,0.2947635135135135,0.3271812080536913,0.28901006711409394,0.27810402684563756,0.29697986577181207,0.3146114864864865,0.3112331081081081,0.26375,0.30447635135135137,0.3187919463087248,0.30827702702702703,0.29603040540540543,0.0,0.2953020134228188,0.296875,0.30869932432432434,0.30041666666666667,0.3095439189189189,0.31630067567567566,0.31503378378378377,0.286493288590604,0.29823825503355705,0.3120777027027027,0.3141891891891892,0.287751677852349,0.3129222972972973,0.30489864864864863,0.3251689189189189,0.30489864864864863,0.3070469798657718,0.29096283783783783,0.33488175675675674
109,0.29949664429530204,0.28505067567567566,0.2802013422818792,0.31334459459459457,0.3302364864864865,0.3091216216216216,0.28716216216216217,0.3108221476510067,0.27390939597315433,0.29320469798657717,0.3251689189189189,0.25666666666666665,0.30411073825503354,0.29194630872483224,0.2603476821192053,0.3309563758389262,0.32676174496644295,0.28716216216216217,0.28885135135135137,0.3125,0.3011744966442953,0.31921140939597314,0.2646812080536913,0.32046979865771813,0.3302364864864865,0.28942953020134227,0.30788590604026844,0.265,0.29697986577181207,0.3427013422818792,0.2956081081081081,0.30788590604026844,0.3183724832214765,0.31166107382550334,0.28145973154362414,0.3285472972972973,0.3145973154362416,0.28958333333333336,0.28439597315436244,0.29138513513513514,0.3061655405405405,0.28104026845637586,0.30405405405405406,0.3150167785234899,0.28523489932885904,0.33179530201342283,0.3061655405405405,0.2808277027027027,0.3091216216216216,0.3091216216216216,0.3158783783783784,0.2791666666666667,0.30363175675675674,0.2986577181208054,0.28817114093959734,0.3099832214765101,0.305,0.30194256756756754,0.2948825503355705,0.26677852348993286,0.31503378378378377,0.30574324324324326,0.33783783783783783,0.31333892617449666,0.3091442953020134,0.3268581081081081,0.27726510067114096,0.33808724832214765,0.3091216216216216,0.3070469798657718,0.2923657718120805,0.2816722972972973,0.2972972972972973,0.3264358108108108,0.2915268456375839,0.28187919463087246,0.32094594594594594,0.3309563758389262,0.29572147651006714,0.30236486486486486,0.3032094594594595,0.28859060402684567,0.296875,0.26458333333333334,0.3074664429530201,0.30278716216216217,0.30701013513513514,0.2825168918918919,0.3302364864864865,0.274748322147651,0.30278716216216217,0.296875,0.28885135135135137,0.30869932432432434,0.30996621621621623,0.28631756756756754,0.29138513513513514,0.3221476510067114,0.2822986577181208,0.2939189189189189,0.3049496644295302,0.3108108108108108,0.3141891891891892,0.26708333333333334,0.30363175675675674,0.30236486486486486,0.2978187919463087,0.3141891891891892,0.2953020134228188,0.0,0.28969594594594594,0.2981418918918919,0.2956081081081081,0.2953020134228188,0.3095833333333333,0.311241610738255,0.30447635135135137,0.27618243243243246,0.2972972972972973,0.29656040268456374,0.30291666666666667,0.3070469798657718,0.29603040540540543,0.3327702702702703,0.28969594594594594,0.28523489932885904,0.3036912751677852,0.31
110,0.2973993288590604,0.25084459459459457,0.24577702702702703,0.2704166666666667,0.30578859060402686,0.2684563758389262,0.2764261744966443,0.28859060402684567,0.26815878378378377,0.27576013513513514,0.30236486486486486,0.2816722972972973,0.26803691275167785,0.27322635135135137,0.24366554054054054,0.30194256756756754,0.25844594594594594,0.24958333333333332,0.24746621621621623,0.26666666666666666,0.26958333333333334,0.2626689189189189,0.23986486486486486,0.2701342281879195,0.28691275167785235,0.27576013513513514,0.26426174496644295,0.2462248322147651,0.2802013422818792,0.29138513513513514,0.2677364864864865,0.3025,0.2985641891891892,0.28885135135135137,0.2749155405405405,0.28817114093959734,0.2833614864864865,0.2625838926174497,0.2833614864864865,0.2688758389261745,0.2972972972972973,0.2713926174496644,0.27936241610738255,0.2596476510067114,0.2973993288590604,0.30083333333333334,0.31756756756756754,0.2179054054054054,0.2986577181208054,0.26426174496644295,0.28062080536912754,0.27432885906040266,0.28631756756756754,0.2860738255033557,0.2652027027027027,0.2562919463087248,0.25838926174496646,0.2902684563758389,0.276006711409396,0.27618243243243246,0.2816722972972973,0.24748322147651006,0.28942953020134227,0.2671979865771812,0.27069256756756754,0.26055743243243246,0.24538590604026847,0.25833333333333336,0.27810402684563756,0.2516778523489933,0.2846283783783784,0.23615771812080538,0.26929530201342283,0.23758278145695363,0.2660472972972973,0.27449324324324326,0.30194256756756754,0.29307432432432434,0.2934966216216216,0.25084459459459457,0.2795608108108108,0.2685810810810811,0.29068791946308725,0.25416666666666665,0.31798986486486486,0.25591216216216217,0.25796979865771813,0.2550335570469799,0.32559121621621623,0.24791666666666667,0.2766047297297297,0.27307046979865773,0.2808277027027027,0.27111486486486486,0.27322635135135137,0.2685810810810811,0.24958053691275167,0.26055743243243246,0.24155405405405406,0.22609060402684564,0.2898489932885906,0.2550335570469799,0.30109797297297297,0.24451013513513514,0.2652027027027027,0.30075503355704697,0.24662162162162163,0.23951342281879195,0.296875,0.28969594594594594,0.0,0.27181208053691275,0.2521114864864865,0.2571308724832215,0.26984797297297297,0.28691275167785235,0.2546452702702703,0.24662162162162163,0.2990771812080537,0.26929530201342283,0.23902027027027026,0.30658783783783783,0.2269295302013423,0.28209459459459457,0.25625,0.28125,0.24666666666666667,0.30869932432432434
111,0.3310810810810811,0.3028523489932886,0.29011824324324326,0.2956081081081081,0.3087248322147651,0.3078547297297297,0.32305743243243246,0.32843959731543626,0.2719594594594595,0.2986577181208054,0.3011744966442953,0.31967905405405406,0.3108108108108108,0.31291946308724833,0.28927364864864863,0.34,0.31669463087248323,0.3028523489932886,0.27449324324324326,0.3158557046979866,0.305,0.3032094594594595,0.2922297297297297,0.3376677852348993,0.3171452702702703,0.30996621621621623,0.27280405405405406,0.2816722972972973,0.29068791946308725,0.3391047297297297,0.31334459459459457,0.3559966216216216,0.30791666666666667,0.3108108108108108,0.31841216216216217,0.30453020134228187,0.3145973154362416,0.30363175675675674,0.27153716216216217,0.29949664429530204,0.3238255033557047,0.31630067567567566,0.32559121621621623,0.28062080536912754,0.30578859060402686,0.35261824324324326,0.3293918918918919,0.276006711409396,0.3053691275167785,0.3238255033557047,0.3112331081081081,0.32094594594594594,0.3054635761589404,0.29940878378378377,0.29307432432432434,0.28875,0.31925675675675674,0.3183724832214765,0.2902684563758389,0.30532094594594594,0.3103885135135135,0.28565436241610737,0.31456953642384106,0.2916666666666667,0.31756756756756754,0.30743243243243246,0.29320469798657717,0.31125827814569534,0.30067567567567566,0.28817114093959734,0.31543624161073824,0.26803691275167785,0.3251689189189189,0.2953020134228188,0.30405405405405406,0.2990771812080537,0.3104026845637584,0.3217905405405405,0.30411073825503354,0.2789429530201342,0.3053691275167785,0.27810402684563756,0.31925675675675674,0.28291666666666665,0.3264358108108108,0.30363175675675674,0.25833333333333336,0.30453020134228187,0.338506711409396,0.27684563758389263,0.28631756756756754,0.2875844594594595,0.30791666666666667,0.32221283783783783,0.2799831081081081,0.31672297297297297,0.2940436241610738,0.30788590604026844,0.29096283783783783,0.28145973154362414,0.3302364864864865,0.2986577181208054,0.31756756756756754,0.29333333333333333,0.32305743243243246,0.3162751677852349,0.29375,0.27307046979865773,0.30869932432432434,0.2981418918918919,0.27181208053691275,0.0,0.2902684563758389,0.3095439189189189,0.30489864864864863,0.3162751677852349,0.3091216216216216,0.2604166666666667,0.31925675675675674,0.26644736842105265,0.2671979865771812,0.3407939189189189,0.25411184210526316,0.33319256756756754,0.27166666666666667,0.2875844594594595,0.30916666666666665,0.32559121621621623
112,0.31333892617449666,0.28716216216216217,0.28631756756756754,0.2990771812080537,0.3188344594594595,0.3120777027027027,0.2972972972972973,0.3095439189189189,0.2789429530201342,0.2972972972972973,0.32559121621621623,0.28631756756756754,0.29603040540540543,0.26666666666666666,0.25416666666666665,0.33319256756756754,0.2939189189189189,0.265625,0.24708333333333332,0.30453020134228187,0.27390939597315433,0.2866666666666667,0.24874161073825504,0.28187919463087246,0.31756756756756754,0.3188344594594595,0.2860738255033557,0.2833614864864865,0.30405405405405406,0.3141778523489933,0.2816722972972973,0.2986577181208054,0.33699324324324326,0.3150167785234899,0.3087248322147651,0.31503378378378377,0.2948825503355705,0.2835570469798658,0.28800675675675674,0.27407094594594594,0.30411073825503354,0.33319256756756754,0.3049496644295302,0.2782939189189189,0.29011824324324326,0.3251689189189189,0.33319256756756754,0.25675675675675674,0.32172818791946306,0.29572147651006714,0.29771959459459457,0.27390939597315433,0.29875,0.3141891891891892,0.27432885906040266,0.2713926174496644,0.311241610738255,0.30701013513513514,0.3053691275167785,0.2802013422818792,0.28800675675675674,0.29771959459459457,0.3154560810810811,0.30405405405405406,0.28505067567567566,0.28439597315436244,0.31334459459459457,0.2704166666666667,0.30489864864864863,0.2934966216216216,0.2802013422818792,0.24412751677852348,0.30033557046979864,0.2797818791946309,0.27768456375838924,0.30194256756756754,0.29,0.29949664429530204,0.2842060810810811,0.27390939597315433,0.2951858108108108,0.28901006711409394,0.33361486486486486,0.26929530201342283,0.3450168918918919,0.26958333333333334,0.27307046979865773,0.27533783783783783,0.3389261744966443,0.2825168918918919,0.27791666666666665,0.28969594594594594,0.30869932432432434,0.3015939597315436,0.2816666666666667,0.2751677852348993,0.29011824324324326,0.30743243243243246,0.28125,0.2445469798657718,0.3187919463087248,0.29833333333333334,0.2989864864864865,0.274748322147651,0.2825168918918919,0.32052364864864863,0.29278523489932884,0.27541666666666664,0.30041666666666667,0.2956081081081081,0.2521114864864865,0.2902684563758389,0.0,0.2934966216216216,0.2939189189189189,0.30067567567567566,0.2802013422818792,0.26055743243243246,0.3187919463087248,0.30489864864864863,0.2575503355704698,0.27810402684563756,0.2671979865771812,0.2731788079470199,0.27364864864864863,0.30743243243243246,0.2596476510067114,0.305
